,a,b,c,d,e,f
a,0.00,27.71,23.69,27.93,22.62,29.08
b,27.71,0.00,15.66,32.43,28.57,36.17
c,23.69,15.66,0.00,18.92,16.67,21.99
d,27.93,32.43,18.92,0.00,10.71,14.89
e,22.62,28.57,16.67,10.71,0.00,14.89
f,29.08,36.17,21.99,14.89,14.89,0.00
