,a,b,c,d,e,f
a,0.00,27.27,25.17,15.42,16.67,35.90
b,27.27,0.00,11.56,21.21,31.37,50.98
c,25.17,11.56,0.00,18.37,28.57,52.38
d,15.42,21.21,18.37,0.00,20.29,49.28
e,16.67,31.37,28.57,20.29,0.00,40.30
f,35.90,50.98,52.38,49.28,40.30,0.00
